#curie_map:
#  ido: "http://rds.posccaesar.org/ontology/lis14/rdl/"
#  ifc: "http://ifcowl.openbimstandards.org/IFC4_ADD2#"
#  skos: "http://www.w3.org/2004/02/skos/core#"
#  semapv: "https://w3id.org/semapv/vocab/"
#  orcid: "https://orcid.org/"
#mapping_set_id: "https://w3id.org/tesseract/industrial-crosswalks/ido-ifc"
#mapping_set_version: "0.1.0"
#mapping_set_title: "IDO (ISO 15926-14) to IFC4 ADD2 backbone crosswalk"
#license: "https://creativecommons.org/licenses/by/4.0/"
#creator_id: "orcid:0009-0001-7244-794X"
#subject_source: "http://rds.posccaesar.org/ontology/lis14/ont/core"
#object_source: "http://ifcowl.openbimstandards.org/IFC4_ADD2"
#comment: "Candidate-for-review crosswalk between the Industrial Data Ontology (the ISO 15926-14 standardisation-track OWL rendering, POSC Caesar) and ifcOWL IFC4 ADD2 (ISO 16739). Rows with predicate_modifier=Not are asserted NON-mappings: pairs that look alignable and are not. See DIVERGENCES.md for the argument behind each one. Confidence is the curator's, not a computed score."
subject_id	subject_label	predicate_id	predicate_modifier	object_id	object_label	mapping_justification	confidence	comment
ido:Quality	Quality	skos:relatedMatch		ifc:IfcProperty	IfcProperty	semapv:ManualMappingCuration	0.5	IfcProperty is a named value slot, which straddles IDO's Quality (the borne characteristic) and QualityDatum (the recorded value). IFC does not draw that distinction, so no clean subsumption exists in either direction.
ido:Location	Location	skos:relatedMatch		ifc:IfcSpatialElement	IfcSpatialElement	semapv:ManualMappingCuration	0.5	Category clash, not a defect in either model. IDO Location is disjoint from PhysicalObject; IfcSpatialElement is a subclass of IfcProduct, so in IFC a spatial region IS a product. Recorded as related so that tools do not promote it.
ido:System	System	skos:relatedMatch		ifc:IfcSystem	IfcSystem	semapv:ManualMappingCuration	0.45	Name-identical, structurally incompatible. See the asserted non-mapping below and DIVERGENCES.md D2. Retained as relatedMatch only so that a human reading the crosswalk finds the warning at the point of need.
ido:Site	Site	skos:relatedMatch		ifc:IfcSite	IfcSite	semapv:ManualMappingCuration	0.45	Name-identical, category-incompatible. See DIVERGENCES.md D3.
ido:Event	Event	skos:relatedMatch		ifc:IfcEvent	IfcEvent	semapv:ManualMappingCuration	0.4	Name-identical, semantically different. See DIVERGENCES.md D5.
ido:Stream	Stream	skos:relatedMatch		ifc:IfcFlowSegment	IfcFlowSegment	semapv:ManualMappingCuration	0.4	The classic process-plant to building trap: the flowing matter versus the conduit that carries it. See DIVERGENCES.md D6.
ido:Object	Object	skos:relatedMatch	Not	ifc:IfcObject	IfcObject	semapv:ManualMappingCuration	0.95	ASSERTED NON-MAPPING. IDO Object is disjoint from Temporal, so it excludes activities. IFC IfcObject subsumes IfcProcess, so it includes them. Equating the two makes every process both Object and Temporal in IDO, which are declared disjoint. Confidence is in the non-mapping, which is provable. DIVERGENCES.md D1.
ido:PhysicalQuantity	PhysicalQuantity	skos:exactMatch	Not	ifc:IfcPhysicalQuantity	IfcPhysicalQuantity	semapv:ManualMappingCuration	0.95	ASSERTED NON-MAPPING. IDO PhysicalQuantity is a Quality (a Dependent, borne by an object). IfcPhysicalQuantity is a recorded measurement value. IDO declares Dependent disjoint from Object, and its QualityDatum branch sits under Object, so the two cannot be equated. Map IfcPhysicalQuantity to ido:QualityDatum instead. DIVERGENCES.md D4.
ido:System	System	skos:exactMatch	Not	ifc:IfcSystem	IfcSystem	semapv:ManualMappingCuration	0.9	ASSERTED NON-MAPPING. IDO FunctionalObject and PhysicalObject are NOT disjoint, so one pump is legitimately both. IFC subsumes IfcSystem under IfcGroup, and IfcGroup is declared disjoint from IfcProduct. Equating System with IfcSystem while mapping PhysicalObject to IfcProduct makes any functional-and-physical individual unsatisfiable. DIVERGENCES.md D2.
ido:Site	Site	skos:exactMatch	Not	ifc:IfcSite	IfcSite	semapv:ManualMappingCuration	0.9	ASSERTED NON-MAPPING. IDO Site is a Location, and IDO declares Location disjoint from PhysicalObject. IfcSite is a subclass of IfcProduct, the physical parcel of land. The two sit on opposite sides of IDO's own disjointness. DIVERGENCES.md D3.
ido:Event	Event	skos:exactMatch	Not	ifc:IfcEvent	IfcEvent	semapv:ManualMappingCuration	0.85	ASSERTED NON-MAPPING. IDO Event is a subclass of Activity that need not be temporally connected: its own definition gives several switch-on occurrences over a week as ONE event individual. IfcEvent is a discrete trigger point, disjoint from IfcTask and IfcProcedure. A scattered aggregate is not a trigger. DIVERGENCES.md D5.
ido:Stream	Stream	skos:exactMatch	Not	ifc:IfcFlowSegment	IfcFlowSegment	semapv:ManualMappingCuration	0.9	ASSERTED NON-MAPPING. IDO Stream is subsumed by InanimatePhysicalObject: it is the fluid in motion. IfcFlowSegment is a IfcDistributionFlowElement: it is the pipe. Handover tooling that equates them silently swaps contents for containment. DIVERGENCES.md D6.
ido:Function	Function	skos:relatedMatch	Not	ifc:IfcTypeProduct	IfcTypeProduct	semapv:ManualMappingCuration	0.8	ASSERTED ABSENCE. IDO carries a realisable branch (Potential, Disposition, Capability, Function) with no IFC counterpart at all: IFC has no class for what a thing is FOR, only predefined type enumerations. Recorded so the gap is machine-visible rather than silently unmapped. DIVERGENCES.md D7.
ido:Capability	Capability	skos:relatedMatch	Not	ifc:IfcTypeProduct	IfcTypeProduct	semapv:ManualMappingCuration	0.8	ASSERTED ABSENCE, as above: the capability layer has no IFC counterpart.
